64|64|5|First column defines center of neiborhood. All other columns define indicies of neiborhood columns
0|0|1|2|3|4|5
1|0|1|2|3|4|5|6
2|0|1|2|3|4|5|6|7
3|0|1|2|3|4|5|6|7|8
4|0|1|2|3|4|5|6|7|8|9
5|0|1|2|3|4|5|6|7|8|9|10
6|1|2|3|4|5|6|7|8|9|10|11
7|2|3|4|5|6|7|8|9|10|11|12
8|3|4|5|6|7|8|9|10|11|12|13
9|4|5|6|7|8|9|10|11|12|13|14
10|5|6|7|8|9|10|11|12|13|14|15
11|6|7|8|9|10|11|12|13|14|15|16
12|7|8|9|10|11|12|13|14|15|16|17
13|8|9|10|11|12|13|14|15|16|17|18
14|9|10|11|12|13|14|15|16|17|18|19
15|10|11|12|13|14|15|16|17|18|19|20
16|11|12|13|14|15|16|17|18|19|20|21
17|12|13|14|15|16|17|18|19|20|21|22
18|13|14|15|16|17|18|19|20|21|22|23
19|14|15|16|17|18|19|20|21|22|23|24
20|15|16|17|18|19|20|21|22|23|24|25
21|16|17|18|19|20|21|22|23|24|25|26
22|17|18|19|20|21|22|23|24|25|26|27
23|18|19|20|21|22|23|24|25|26|27|28
24|19|20|21|22|23|24|25|26|27|28|29
25|20|21|22|23|24|25|26|27|28|29|30
26|21|22|23|24|25|26|27|28|29|30|31
27|22|23|24|25|26|27|28|29|30|31|32
28|23|24|25|26|27|28|29|30|31|32|33
29|24|25|26|27|28|29|30|31|32|33|34
30|25|26|27|28|29|30|31|32|33|34|35
31|26|27|28|29|30|31|32|33|34|35|36
32|27|28|29|30|31|32|33|34|35|36|37
33|28|29|30|31|32|33|34|35|36|37|38
34|29|30|31|32|33|34|35|36|37|38|39
35|30|31|32|33|34|35|36|37|38|39|40
36|31|32|33|34|35|36|37|38|39|40|41
37|32|33|34|35|36|37|38|39|40|41|42
38|33|34|35|36|37|38|39|40|41|42|43
39|34|35|36|37|38|39|40|41|42|43|44
40|35|36|37|38|39|40|41|42|43|44|45
41|36|37|38|39|40|41|42|43|44|45|46
42|37|38|39|40|41|42|43|44|45|46|47
43|38|39|40|41|42|43|44|45|46|47|48
44|39|40|41|42|43|44|45|46|47|48|49
45|40|41|42|43|44|45|46|47|48|49|50
46|41|42|43|44|45|46|47|48|49|50|51
47|42|43|44|45|46|47|48|49|50|51|52
48|43|44|45|46|47|48|49|50|51|52|53
49|44|45|46|47|48|49|50|51|52|53|54
50|45|46|47|48|49|50|51|52|53|54|55
51|46|47|48|49|50|51|52|53|54|55|56
52|47|48|49|50|51|52|53|54|55|56|57
53|48|49|50|51|52|53|54|55|56|57|58
54|49|50|51|52|53|54|55|56|57|58|59
55|50|51|52|53|54|55|56|57|58|59|60
56|51|52|53|54|55|56|57|58|59|60|61
57|52|53|54|55|56|57|58|59|60|61|62
58|53|54|55|56|57|58|59|60|61|62|63
59|54|55|56|57|58|59|60|61|62|63
60|55|56|57|58|59|60|61|62|63
61|56|57|58|59|60|61|62|63
62|57|58|59|60|61|62|63
63|58|59|60|61|62|63
